      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2015-12-10 20:00:28,     49,      39.02,          26,       0.10,        1.26,        0.67,        0.13,      49,       0


Round trip time,Size,Path,Response
0.11,190682,/17.jpg,200
0.41,5575416,/22.jpg,200
0.04,3092,/20.jpg?width=101&height=100,200
0.04,12765,/11.jpg?width=201&height=200,200
0.08,44898,/19.jpg?width=201&height=200,200
0.38,5575416,/22.jpg,200
0.24,1647896,/19.jpg,200
0.06,26504,/13.jpg?width=201&height=200,200
0.21,1301830,/30.jpg,200
0.06,26504,/13.jpg?width=201&height=200,200
0.06,32845,/19.jpg?width=101&height=100,200
0.08,70476,/11.jpg,200
0.08,44898,/19.jpg?width=201&height=200,200
0.07,49461,/22.jpg?width=101&height=100,200
0.05,26504,/13.jpg?width=201&height=200,200
0.1,109794,/25.jpg,200
0.04,4257,/11.jpg?width=101&height=100,200
0.04,4257,/11.jpg?width=101&height=100,200
0.05,26504,/13.jpg?width=201&height=200,200
0.14,421723,/13.jpg,200
0.04,7874,/17.jpg?width=101&height=100,200
0.06,21317,/17.jpg?width=201&height=200,200
0.09,109794,/25.jpg,200
0.08,44898,/19.jpg?width=201&height=200,200
0.07,44898,/19.jpg?width=201&height=200,200
0.06,33883,/30.jpg?width=101&height=100,200
0.04,7664,/13.jpg?width=101&height=100,200
0.21,1647896,/19.jpg,200
0.08,49461,/22.jpg?width=101&height=100,200
0.04,8922,/20.jpg?width=201&height=200,200
0.04,12765,/11.jpg?width=201&height=200,200
0.04,4257,/11.jpg?width=101&height=100,200
0.04,4257,/11.jpg?width=101&height=100,200
0.05,32845,/19.jpg?width=101&height=100,200
0.07,49461,/22.jpg?width=101&height=100,200
0.51,5575416,/22.jpg,200
0.22,1647896,/19.jpg,200
0.03,3092,/20.jpg?width=101&height=100,200
0.04,7664,/13.jpg?width=101&height=100,200
0.23,1647896,/19.jpg,200
0.15,421723,/13.jpg,200
0.05,33883,/30.jpg?width=101&height=100,200
0.06,21317,/17.jpg?width=201&height=200,200
0.05,21317,/17.jpg?width=201&height=200,200
0.08,67556,/20.jpg,200
0.12,421723,/13.jpg,200
0.06,26504,/13.jpg?width=201&height=200,200
0.1,190682,/17.jpg,200
0.05,25886,/25.jpg?width=101&height=100,200
